time,num_variables,base_num_polys,max_deg,sum_num_polys,error
2,4,20,4,128,0.032098228
3,4,20,4,128,0.005270759
4,4,20,4,128,0.021054336
5,4,20,4,128,0.035925587
6,4,20,4,128,0.026598928
7,4,20,4,128,0.03074733
8,4,20,4,128,0.015980354
9,4,20,4,128,0.026087015
0,4,20,4,256,0.024899316
1,4,20,4,256,0.021457614
2,4,20,4,256,0.016318184
3,4,20,4,256,0.027387335
4,4,20,4,256,0.014712099
5,4,20,4,256,0.011246728
6,4,20,4,256,0.015063797
7,4,20,4,256,0.015453122
8,4,20,4,256,0.016317495
9,4,20,4,256,0.013540431
0,4,20,4,512,0.016838112
1,4,20,4,512,0.013354856
2,4,20,4,512,0.018080574
3,4,20,4,512,0.013701504
4,4,20,4,512,0.01875371
5,4,20,4,512,0.011697207
6,4,20,4,512,0.006693484
7,4,20,4,512,0.017429785
8,4,20,4,512,0.011697016
9,4,20,4,512,0.015661682
0,4,30,4,128,0.006343138
1,4,30,4,128,0.011730333
2,4,30,4,128,0.003680695
3,4,30,4,128,0.003310255
4,4,30,4,128,0.006475214
5,4,30,4,128,0.007186062
6,4,30,4,128,0.005817516
7,4,30,4,128,0.008543496
8,4,30,4,128,0.011376347
9,4,30,4,128,0.009136982
0,4,30,4,256,0.005958597
1,4,30,4,256,0.004873175
2,4,30,4,256,0.009295955
3,4,30,4,256,0.009920148
4,4,30,4,256,0.006294647
5,4,30,4,256,0.006009105
6,4,30,4,256,0.006181311
7,4,30,4,256,0.011760821
8,4,30,4,256,0.006024851
9,4,30,4,256,0.014005797
0,4,30,4,512,0.007964518
1,4,30,4,512,0.009828893
2,4,30,4,512,0.005249471
3,4,30,4,512,0.004639587
4,4,30,4,512,0.003341893
5,4,30,4,512,0.009382441
6,4,30,4,512,0.004228956
7,4,30,4,512,0.006132648
8,4,30,4,512,0.002468085
0,4,40,4,128,0.005458855
2,4,40,4,128,0.004902175
5,4,40,4,128,0.005205768
7,4,40,4,128,0.007547832
8,4,40,4,128,0.002140219
9,4,40,4,128,0.004944248
0,4,40,4,256,0.005138305
1,4,40,4,256,0.002009513
2,4,40,4,256,0.002024947
3,4,40,4,256,0.003296907
4,4,40,4,256,0.002321975
5,4,40,4,256,0.003179951
6,4,40,4,256,0.003440188
7,4,40,4,256,0.00238853
8,4,40,4,256,0.003366678
0,4,40,4,512,0.003972981
1,4,40,4,512,0.002881052
2,4,40,4,512,0.002132997
3,4,40,4,512,0.003038005
5,4,40,4,512,0.006096218
6,4,40,4,512,0.004433132
7,4,40,4,512,0.002599363
8,4,40,4,512,0.00318444
9,4,40,4,512,0.003680287
0,4,50,4,128,0.003656895
1,4,50,4,128,0.001065076
2,4,50,4,128,0.002989813
3,4,50,4,128,0.011342655
4,4,50,4,128,0.002129087
5,4,50,4,128,0.001790708
6,4,50,4,128,0.006467187
7,4,50,4,128,0.002060295
8,4,50,4,128,0.005777299
9,4,50,4,128,0.002476972
0,4,50,4,256,0.00230409
1,4,50,4,256,0.001384942
2,4,50,4,256,0.00595936
3,4,50,4,256,0.005462767
4,4,50,4,256,0.000988293
5,4,50,4,256,0.003467172
6,4,50,4,256,0.002210565
7,4,50,4,256,0.002402184
8,4,50,4,256,0.001110723
9,4,50,4,256,0.001597887
0,4,50,4,512,0.002174074
1,4,50,4,512,0.00359993
2,4,50,4,512,0.002152151
3,4,50,4,512,0.005097608
4,4,50,4,512,0.004711212
5,4,50,4,512,0.001314885
6,4,50,4,512,0.002741331
7,4,50,4,512,0.004739318
8,4,50,4,512,0.001751127
9,4,50,4,512,0.001114048
